                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     78,                 1.2489,                 1.0297,                 1.7395,                0.85506,                 0.7927,                0.84616,                0.57431,                 1.0705,                0.89662,                 1.5619,               0.002377,               0.002377,               0.002377
                     79,                 1.0844,                0.91805,                  1.613,                0.83351,                0.83001,                0.85982,                0.59343,                 1.0285,                0.86318,                 1.5439,               0.002278,               0.002278,               0.002278
                     80,                 1.1199,                0.93224,                 1.6283,                0.84414,                0.82549,                0.86008,                0.59068,                 1.0211,                0.87943,                 1.5403,               0.002179,               0.002179,               0.002179
                     81,                 1.0911,                 0.9324,                 1.6065,                 0.8194,                0.83098,                0.86298,                0.58216,                 1.0327,                0.86675,                 1.5434,                0.00208,                0.00208,                0.00208
                     82,                 1.0578,                0.89737,                 1.6041,                0.81942,                0.85006,                0.87055,                0.60001,                 1.0034,                0.83916,                 1.5257,               0.001981,               0.001981,               0.001981
                     83,                 1.0497,                0.86076,                 1.5801,                0.85879,                0.82603,                 0.8692,                 0.5945,                 0.9967,                0.84626,                 1.5277,               0.001882,               0.001882,               0.001882
                     84,                 1.0657,                0.88165,                 1.5742,                0.84657,                0.81308,                0.86099,                0.59397,                0.98494,                0.84215,                 1.5201,               0.001783,               0.001783,               0.001783
                     85,                 1.0582,                0.92297,                 1.6313,                 0.8526,                0.79634,                0.85467,                0.57948,                 1.0324,                0.85543,                 1.5343,               0.001684,               0.001684,               0.001684
                     86,                 1.0868,                0.94198,                 1.6171,                0.78781,                0.83528,                0.86391,                0.58919,                 1.0096,                0.84514,                 1.5205,               0.001585,               0.001585,               0.001585
                     87,                 1.2754,                 1.1921,                 1.7072,                0.78265,                0.88471,                0.86947,                0.59865,                0.97244,                0.83072,                 1.5061,               0.001486,               0.001486,               0.001486
                     88,                 1.1005,                 0.9132,                 1.6629,                0.78596,                0.87521,                0.85768,                0.58633,                0.98216,                0.84125,                 1.5108,               0.001387,               0.001387,               0.001387
                     89,                 1.0176,                0.90743,                 1.5829,                0.79588,                0.87465,                0.86127,                0.58702,                0.99895,                0.83324,                 1.5131,               0.001288,               0.001288,               0.001288
                     90,                 1.0377,                0.88267,                  1.607,                0.83239,                0.85859,                0.86274,                0.58956,                 1.0041,                0.82171,                 1.5127,               0.001189,               0.001189,               0.001189
                     91,                 1.0499,                0.89842,                 1.6027,                0.87162,                0.79269,                0.86734,                0.59644,                 1.0191,                0.82121,                 1.5132,                0.00109,                0.00109,                0.00109
                     92,                 1.0816,                0.88554,                  1.618,                0.80121,                0.88434,                0.87336,                0.60204,                0.99564,                0.81607,                 1.4957,               0.000991,               0.000991,               0.000991
                     93,                 1.0657,                0.91079,                 1.5655,                0.87029,                0.78015,                0.87078,                0.59384,                0.97771,                0.81582,                 1.4863,               0.000892,               0.000892,               0.000892
                     94,                 1.0519,                0.86663,                 1.5606,                0.86194,                0.77569,                0.86288,                0.58461,                0.98931,                0.82653,                 1.4881,               0.000793,               0.000793,               0.000793
                     95,                 1.0414,                0.91592,                 1.5963,                0.82496,                0.82683,                0.86461,                0.59051,                0.98529,                0.82215,                 1.4857,               0.000694,               0.000694,               0.000694
                     96,                 1.0317,                 0.8554,                 1.5586,                0.79703,                0.84614,                0.86561,                0.59251,                0.98867,                0.82172,                 1.4854,               0.000595,               0.000595,               0.000595
                     97,                 1.0211,                  0.878,                 1.5491,                0.81659,                0.87398,                0.87947,                0.59387,                0.99983,                0.81872,                  1.494,               0.000496,               0.000496,               0.000496
                     98,                  1.045,                0.91626,                 1.6138,                0.83595,                0.87338,                0.87868,                0.59209,                 1.0021,                0.81542,                 1.4942,               0.000397,               0.000397,               0.000397
                     99,                 1.0809,                0.94714,                 1.5976,                0.79523,                0.89517,                0.87608,                0.59738,                 1.0033,                0.81444,                  1.496,               0.000298,               0.000298,               0.000298
